asin,review
B09S6FWS7W,"
Have a basic sink, common faucet size, but wouldn't fit around it. Pretty disappointing...
"
B09S6FWS7W,"
Wouldn't work for my sink Sent back
"
B09S6FWS7W,"
Awesome concept but it didn't fit my sink/faucet.
"
B09S6FWS7W,"
Super versatile for straining leftovers off dishes or rinsing out sink drains but the neck needs to be a bit longer and wider.
"
B09S6FWS7W,"
Doesn’t fit many sink faucets.
"
B09S6FWS7W,"
I wish the hook was a little bigger.  It didn't fit around the base of my faucet.
"
B09S6FWS7W,"
Nice idea but my faucet has a wide base and the handle on the product does not fit.
"
B09S6FWS7W,"
The fit was not as good as I thought it would be don't waste your money
"
B09S6FWS7W,"
Didn’t fit around my standard faucet.
"
B09S6FWS7W,"
I returned these because they didn’t fit well and  too small to hold very much in them.
"
B09S6FWS7W,"
I am keeping them because I can find a way to make them work. Maybe. But while they fit around the neck of my faucet they do not sit on the corner of the sink as shown in the description. I have two standard size sinks and it doesn’t fit either one.
"
B09S6FWS7W,"
After watching the videos I decided that I needed these Swan Sink Drainers. Someone had a great idea but it's just too bad that they didn't fit my sink or any of my friends sinks that I tried to give them too. They appear to be made for a very small sink. I donated them to a thrift store.
"
B09S6FWS7W,"
Read the description carefully.  (I didn't and could not use it because the diameter was too small for our faucet.  It would be great if it fit.
"
B09S6FWS7W,"
I guess it is very useful if it fit my faucet, but it does not at all.  Still usable though
"
B09S6FWS7W,"
Dislike how large this is
"
B09S6FWS7W,"
Very difficult to put around faucet. Hard to remove without fear of breaking
"
B09S6FWS7W,"
Would love to use but too short for my faucet.
"
B09S6FWS7W,"
Its a great idea but doesnt fit on my sink. Might want to add in what sinks it does fit on.
"
B09S6FWS7W,"
Neck too small for our faucet. But it works , and I like it.
"
B09S6FWS7W,"
They don't fit my sink. Can't use
"
B09S6FWS7W,"
I was excited to get these after seeing how they work.  But the way my faucet is put on and the space between the 2 sinks.  It won't hook on and sit flat.
"
B09S6FWS7W,"
the basket is a great idea, but it can only fit around smaller faucets... way too small for the body of my regular sized faucet
"
B09S6FWS7W,"
The yellow one was fine. The blue one was so dirty I threw it away.
"
B09S6FWS7W,"
I have a standard size sink and this is just too big. The holder doesn’t fit around my faucet and the basket takes up too much room. It is a great tool though and super easy to clean.
"
B09S6FWS7W,"
My facet has the two spigots on each side and blocked the neck of the strainer from hanging on the spigot.
"
B09S6FWS7W,"
Looks like it would be awesome, but doesn't fit my style kitchen sink.  Grateful for easy return.
"
B09S6FWS7W,"
Does not fit my faucet. you need to give the measurements and state so.
"
B09S6FWS7W,"
It doesn’t fit a square faucet base. It never occurred to me to check if it would work on a square faucet base. it sadly does not.
"
B09S6FWS7W,"
Won’t fit around faucet base probably won’t fit most new faucets
"
B09S6FWS7W,"
Didn't fit my sink faucet
"
B09S6FWS7W,"
I was pumped to get these but slightly disappointed when I did. I have the most common & average sink/faucet set up & these do not hook around the faucet as advertised. I placed one in the outer corner & set a heavy soap pump on it & it stays put while holding multiple different brushes/scrubbies so it worked out ok. Just not as intended.
"
B09S6FWS7W,"
The blue is not a turquoise it's a baby blue. They're not really very sturdy, seem very flimsy
"
B09S6FWS7W,"
Hangs loosely and food drops out of it.
"
B09S6FWS7W,"
Product did not work as described.
"
B09S6FWS7W,"
It's a great idea. But n ck is to small for most faucets.I'm sad.I really wanted to use it.
"
B09S6FWS7W,"
The swan neck too small & the basket so big that it would not fit down in my sink.  I returned them.
"
B09S6FWS7W,"
The loops are too stiff and did not fit around my faucet.  Waste of money and time.  Returned.
"
B09S6FWS7W,"
It does not fit all sinks or faucets neck, it’s useless but couldn’t not return it back
"
B09S6FWS7W,"
Holes aren’t punched all the way thru. Doesn’t work the best with sinks with space between the faucet and the sink.
"
B09S6FWS7W,"
Don't count on this fitting your faucet! Handle is short...won't fit my sink .
"
B09S6FWS7W,"
Little hook is too short and narrow to fit standard American sinks. Took forever to get.
"
B09S6FWS7W,"
not long enough to work in sink
"
B09S6FWS7W,"
Will not hook around any faucet in my house. Way to small. I will still use, just wish it would work as stated.
"
B09S6FWS7W,"
Product make was sturdy and good, but the hook won’t fit a lot of modern sinks
"
B09S6FWS7W,"
I can't even use them they came smashed together you can't get them apart
"
B09S6FWS7W,"
Does not fit at all. Don’t waste your money
"
B09S6FWS7W,"
These do not fit my faucet.
"
B09S6FWS7W,"
The handle is to small it doesn't fit the faucet I had to hang in on the soap dispenser.
"
B09S6FWS7W,"
It doesn’t fit on sink at all
"
B09S6FWS7W,"
It doesn’t fit on my faucet
"
